google.com,,,,
Time,Request,Resp. Size,Analysis,Total time
01:31:43.163,GET https://images-na.ssl-images-amazon.com/images/G/01/AUIClients/AmazonGatewayAuiAssets-82aa6507d1a1b968c8edd504a75755081301203d._V2_.js,10027,[JavaScript],256 ms
01:31:43.171,"GET https://images-na.ssl-images-amazon.com/images/I/01KRcg6-T5L._RC%7C118juELdZRL.js,51YTnNJ53iL.js,31LfAU3FcYL.js,213XcqbHDEL.js,01N6xzIJxbL.js,51K9yT87dJL.js,01rpauTep4L.js,31luvn11dxL.js,01yqNhFLqeL.js,61GfPM5WP6L.js,018X-PE063L.js,01BBu+b9t0L.js,01eO7OoSd6L.js_.js",67122,[JavaScript],356 ms
01:31:43.179,GET https://shared-https.ydstatic.com/gouwuex/ext/script/load_url_s.txt,494,[Text],114 ms
01:31:43.188,GET https://dq4ijymydgrfx.cloudfront.net/2016-09-06/feedback-us.js,16972,[JavaScript],287 ms
01:31:43.214,GET https://images-na.ssl-images-amazon.com/images/I/01PDUo7UpYL.js,1370,[JavaScript],215 ms
01:31:43.301,GET https://shared-https.ydstatic.com/gouwuex/ext/script/extension_3_1.js,155966,[JavaScript],60 ms
01:31:43.310,GET https://images-na.ssl-images-amazon.com/images/G/01/dacx/sf/DAsf-1.41._V522922158_.js,10112,[JavaScript],143 ms
01:31:43.414,GET https://images-na.ssl-images-amazon.com/images/G/01/ads/advertising/ads._TTH_.js,604,[JavaScript],82 ms
01:31:43.420,GET https://images-na.ssl-images-amazon.com/images/I/11QXqf0G81L.js,2092,[JavaScript],88 ms
01:31:43.420,"GET https://images-na.ssl-images-amazon.com/images/I/01RKasHhxtL._RC%7C71ckgiXeMqL.js,61y8Wz5AqOL.js,01A18a0oAWL.js,41Y3FLuA56L.js,010XVa0zfKL.js,01wBjiz9OvL.js,21QhSEq5BwL.js,3158lSGQWpL.js,51RgqN98m2L.js_.js",90301,[JavaScript],198 ms
01:31:43.429,GET https://shared-https.ydstatic.com/gouwuex/ext/css/extension_3_1_s.css,47658,[TXT],26 ms
01:31:43.435,GET https://zhushou.huihui.cn/productSense,3773,[JSON],214 ms
01:31:43.592,POST https://www.amazon.com/ah/ajax/counter,488,[HTML],304 ms
01:31:43.611,GET https://images-na.ssl-images-amazon.com/images/G/01/dacx/sf/sf-1.41._V522922159_.html,6290,[HTML],85 ms
01:31:43.781,POST https://www.amazon.com/gp/overlay/display.html,927,[HTML],340 ms
01:31:43.804,POST https://www.amazon.com/gp/redirection/india.html,976,[HTML],307 ms
01:31:43.807,POST https://www.amazon.com/gp/redirection/canada.html,974,[HTML],313 ms
01:31:43.847,GET https://www.amazon.com/empty.gif,356,[Image],330 ms
01:31:43.851,GET https://zhushou.huihui.cn/api/zhushou/promotionActivity.json,419,[JSON],35 ms
01:31:43.875,GET https://images-na.ssl-images-amazon.com/images/G/01/digital/video/merch/gateway/PrimeDesktopHero_AVD-2533_Evergreen_GW_Popcorn_Reel_CTA_PrimeTV_v2_1500x300._CB536139133_.jpg,74159,[Image],165 ms
01:31:43.875,GET https://images-na.ssl-images-amazon.com/images/G/01/kindle/merch/2016/FTVS/NEW/1500x300_Street_ALLNEW._CB527377379_.jpg,62387,[Image],185 ms
01:31:43.876,GET https://images-na.ssl-images-amazon.com/images/G/01/digital/music/merch/2017/Events/GRAMMYs/Grammys_013117_Herotator-1x._CB535304468_.jpg,23127,[Image],100 ms
01:31:43.876,GET https://images-na.ssl-images-amazon.com/images/G/01/digital/music/merch/2017/Other/PrimeUpsell/Phase2/020317_Amazon_GW_DesktopHero_4-1_1500x300._CB535756357_.jpg,95784,[Image],113 ms
01:31:43.913,GET https://www.amazon.com/gp/prime/digital-adoption/navigation-bar,955,[JSON],485 ms
01:31:44.072,GET https://aax-us-east.amazon-adsystem.com/x/getad,1603,[JavaScript],307 ms
01:31:44.088,GET https://images-na.ssl-images-amazon.com/images/G/01/ads/advertising/ads._TTH_.js,604,[JavaScript],89 ms
01:31:44.113,GET https://shared-https.ydstatic.com/gouwuex/images/extension_3_1/hui_sp.png,150889,[Image],37 ms
01:31:44.118,GET https://www.huihui.cn/global/getCartCount,740,[JSON],166 ms
01:31:44.146,GET http://oimagec6.ydstatic.com/image,50030,[Image],50 ms
01:31:44.147,GET https://shared-https.ydstatic.com/gouwuex/images/extension_3_1/hui_container_qrcode.jpg,17252,[Image],24 ms
01:31:44.147,GET https://shared-https.ydstatic.com/gouwuex/images/extension_3_1/icon-pinle-qrcode.jpg,3738,[Image],39 ms
01:31:44.147,GET http://oimagec4.ydstatic.com/image,14514,[Image],40 ms
01:31:44.148,GET https://zhushou.huihui.cn/log,194,[MIME],48 ms
01:31:44.201,GET https://images-na.ssl-images-amazon.com/images/G/01/digital/video/merch/subs/benefit-id/g-l/hbo/heroes/asin2017/GNO-Flyout_AVD-3350_GirlsS6_519x545._CB536733207_.png,84422,[Image],187 ms
01:31:44.202,GET https://images-na.ssl-images-amazon.com/images/G/01/digital/music/merch/2017/Other/PrimeUpsell/Phase2/Flyout/021017_Upsell_1-2_Flyout_Blackbelt._CB535316282_.png,112025,[Image],127 ms
01:31:44.203,GET https://images-na.ssl-images-amazon.com/images/G/01/temp/bb/firetv/FireTV_AppsFlyout._CB535358604_.png,112576,[Image],113 ms
01:31:44.244,GET https://zhushou.huihui.cn/log,194,[MIME],34 ms
01:31:44.271,GET https://images-na.ssl-images-amazon.com/images/G/01/digital/adrive/images/VDay_2017/GW/12844_photos_vday_flyout_519x545._CB520983311_.png,152485,[Image],182 ms
01:31:44.272,GET https://images-na.ssl-images-amazon.com/images/G/01/kindle/merch/2017/E-reader/Jan/Valentines/kp_vday-tpr_flyout_us._CB536214794_.png,75829,[Image],168 ms
01:31:44.273,GET https://images-na.ssl-images-amazon.com/images/G/01/kindle/merch/2017/TAB/JAN/Vday_TPR/GNO_Vday_us-499x502-KET-Blue._CB536574109_.png,121445,[Image],277 ms
01:31:44.280,GET https://d2o307dm5mqftz.cloudfront.net/1001211/1477932637949/1x1Pixel.gif,479,[Image],269 ms
01:31:44.316,GET https://images-na.ssl-images-amazon.com/images/G/01/kindle/merch/2016/FTVS/489468135/519x522._CB278503064_.png,68405,[Image],90 ms
01:31:44.330,GET https://images-na.ssl-images-amazon.com/images/G/01/kindle/merch/2016/B/b-GNO._CB279603587_.png,259201,[Image],167 ms
01:31:44.388,GET https://images-na.ssl-images-amazon.com/images/G/01/prime/InKind/RIF/1029128_us_prime_rif_inkind_p2_td_flyout_us_519x545._CB535372888_.png,64310,[Image],109 ms
01:31:44.406,GET https://images-na.ssl-images-amazon.com/images/G/01/img17/music/other/1028775_us_jan27_music_love_cta_flyout_v4_519x580._CB535013109_.png,146049,[Image],103 ms
01:31:44.441,GET https://images-na.ssl-images-amazon.com/images/G/01/img14/ce-accessories/flyout/electronics_tradein_flyout._CB364719417_.png,38443,[Image],112 ms
01:31:44.447,GET https://zhushou.huihui.cn/log,194,[MIME],34 ms
01:31:44.453,GET https://images-na.ssl-images-amazon.com/images/G/01/img17/tools/other/1028200_us_jan24_tools_wood_flyout_519x580._CB534808514_.png,263640,[Image],175 ms
01:31:44.456,GET https://dq4ijymydgrfx.cloudfront.net/2016-09-06/feedback-us.js,16972,[JavaScript],101 ms
01:31:44.465,GET https://images-na.ssl-images-amazon.com/images/G/01/shazam/DACST-93259-Revlon-LI3W-ATF-IAB-Static-300-250-hUw5v._V535619064_.jpg,24713,[Image],121 ms
01:31:44.498,GET https://images-na.ssl-images-amazon.com/images/G/01/img17/beauty/gateway/1028673_beauty_weblab_T1_flyout_us_519x545._CB536572247_.png,121434,[Image],97 ms
01:31:44.509,GET https://images-na.ssl-images-amazon.com/images/G/01/img16/toys/stem-store/995657_us_toys_stem-traffic_flyout_us_519x535._CB535830470_.png,56317,[Image],107 ms
01:31:44.550,GET https://images-na.ssl-images-amazon.com/images/G/01/img17/baby/gateway/1025021_Baby_trafficdriver_flyout_us_519x545_1._CB536397405_.png,41471,[Image],94 ms
01:31:44.553,GET https://images-na.ssl-images-amazon.com/images/G/01/handmade/2017/Q1/flyout/1027492_hm_vday_flyout_us_519x545._CB535874191_.png,201217,[Image],221 ms
01:31:44.586,GET https://images-na.ssl-images-amazon.com/images/G/01/img16/outdoors/flyout/1023323_us_outdoors_gw_river_flyout_us_519x535._CB523137495_.png,64130,[Image],109 ms
01:31:44.595,GET https://images-na.ssl-images-amazon.com/images/G/01/img17/automotive/other/1026514_us_automotive_parts_and_accessories_winter_driving_flyout_us_519x545._CB536404462_.png,193872,[Image],105 ms
01:31:44.616,GET https://images-na.ssl-images-amazon.com/images/G/01/vas/gno/VAS_GNO_SingleDest_0827._CB311622944_.png,147960,[Image],101 ms
01:31:44.629,GET https://images-na.ssl-images-amazon.com/images/G/01/credit/img16/CBCC/gateway/cbcc_flyout_519x545._CB520505886_.png,116323,[Image],138 ms
01:31:44.644,GET https://images-na.ssl-images-amazon.com/images/G/01/da/adchoices/ac-topright-sprite.png,2121,[Image],121 ms
01:31:44.696,GET https://images-na.ssl-images-amazon.com/images/G/01/productAds/ad_feedback_icon_1Xsprite.png,988,[Image],84 ms
01:31:48.588,POST https://www.amazon.com/ah/ajax/record-impressions,488,[HTML],285 ms
01:31:53.834,POST https://www.amazon.com/gp/redirection/mexico.html,976,[HTML],291 ms
01:31:53.843,POST https://www.amazon.com/ah/ajax/record-impressions,488,[HTML],291 ms
,,,,
linkedin.com,,,,
Time,Request,Resp. Size,Analysis,Total time
01:34:28.183,GET http://www.linkedin.com/,853,[MIME],262 ms
01:34:29.199,GET https://sb.scorecardresearch.com/b,248,[Text],243 ms
01:34:28.943,GET https://static.licdn.com/sc/h/1vbs9z1ssvnc6x8mbnttkgv5r,3725,[Image],59 ms
01:34:28.887,GET https://static.licdn.com/sc/h/4tcd0mh70bs89zecpaumh27p1,8837,[JavaScript],50 ms
01:34:28.937,GET https://static.licdn.com/sc/h/69mv6gmkbz9rnfz5gfbyrrltm,22030,[JavaScript],40 ms
01:34:28.942,"GET https://static.licdn.com/sc/h/6chd2qae3e0qdp6uj9vh6dpaq,c5o9nquj3pnmd0vr1qcxnqlpr,4e1nr80k7wbd3csfcp2d4dlhh,8hj75aeg6xhrq1ipv53vig9s4",70511,[JavaScript],57 ms
01:34:28.943,"GET https://static.licdn.com/sc/h/cbd6bkttqs60kdsi6qi7n6ni6,70z6dxtqbefdzkb9g2zo34rou,23jl1ogbuc0pd0i769311ybao,d4uyozgg6ng4l48vmhl906zpi",27567,[JavaScript],37 ms
